underlying,sigma,n_obs,source,computed_at
AAPL,0.0238989054246901,6662,cache,2026-06-08T10:18:36
ADBE,0.022469776604775,10029,yfinance,2026-06-08T10:18:37
AMD,0.0289380623161471,6674,cache,2026-06-08T10:18:40
AMZN,0.0266460372174603,6662,cache,2026-06-08T10:18:40
APP,0.0356612788278368,1277,cache,2026-06-08T10:18:40
ARKK,0.0167467697731155,2914,yfinance,2026-06-08T10:18:41
ARM,0.0357309817514329,683,yfinance,2026-06-08T10:18:41
ASHR,0.0136592647359982,3148,cache,2026-06-08T10:18:41
ASML,0.0218977881558959,7858,yfinance,2026-06-08T10:18:42
AVGO,0.0173106083464228,4233,yfinance,2026-06-08T10:18:42
BA,0.0153654265065646,16214,yfinance,2026-06-08T10:18:43
BABA,0.0191484057891267,2944,yfinance,2026-06-08T10:18:44
BRK-B,0.0104681569487955,7567,yfinance,2026-06-08T19:38:05+00:00
BTC,0.0264346806081448,4242,cache,2026-06-08T10:18:45
COIN,0.0366003809242634,1266,cache,2026-06-08T10:18:45
CRM,0.0192967168868927,5523,yfinance,2026-06-08T10:18:46
CRWD,0.0242449812063274,1755,yfinance,2026-06-08T10:18:46
DELL,0.021621613160112,2463,yfinance,2026-06-08T10:18:47
DIA,0.0087384115914282,6672,cache,2026-06-08T10:18:47
DJT,0.1212773232454304,1174,yfinance,2026-06-08T10:18:47
EEM,0.0177137911892214,5797,cache,2026-06-08T10:19:01
ETH,0.032870783935055,3093,cache,2026-06-08T10:19:01
EWJ,0.0381594381321591,6674,cache,2026-06-08T10:19:01
EWW,0.0124801564968568,6674,cache,2026-06-08T10:19:01
EWY,0.0149687432560977,6528,cache,2026-06-08T10:19:01
EWZ,0.0167782968593794,6497,cache,2026-06-08T10:19:01
FEZ,0.0118395678439425,5929,cache,2026-06-08T10:19:01
FXI,0.0178276765894377,5422,cache,2026-06-08T10:19:03
GDX,0.0181900978566287,4860,cache,2026-06-08T10:19:03
GDXJ,0.051276601699937,4139,cache,2026-06-08T10:19:03
GOOGL,0.0201019591681654,5457,cache,2026-06-08T10:19:03
HOOD,0.033871283792718,1218,yfinance,2026-06-08T10:19:03
IBB,0.0102058097656399,4860,cache,2026-06-08T10:19:03
